Unnamed: 0,Cars,2021_week,Cumulative,Avg/wk,2021_Y-t-d,country,date
Total Carloads,"344,274",-2.7%,"344,274",-2.7%,0.7%,North_american,2019-02-20
Chemicals,"44,963",-2.8%,"44,963",-2.8%,2.2%,North_american,2019-02-20
Coal,"86,481",-8.6%,"86,481",-8.6%,-1.8%,North_american,2019-02-20
"Farm Products excl. Grain, and Food","23,771",-2.8%,"23,771",-2.8%,-0.6%,North_american,2019-02-20
Forest Products,"16,501",1.3%,"16,501",1.3%,0.7%,North_american,2019-02-20
Grain,"31,595",3.2%,"31,595",3.2%,0.8%,North_american,2019-02-20
Metallic Ores and Metals,"39,841",0.7%,"39,841",0.7%,2.0%,North_american,2019-02-20
Motor Vehicles and Parts,"26,834",-2.4%,"26,834",-2.4%,-3.1%,North_american,2019-02-20
Nonmetallic Minerals,"41,693",-6.0%,"41,693",-6.0%,-2.8%,North_american,2019-02-20
Petroleum and Petroleum Products,"20,548",10.8%,"20,548",10.8%,19.8%,North_american,2019-02-20
Other,"12,047",4.1%,"12,047",4.1%,-1.3%,North_american,2019-02-20
Total Intermodal Units,"353,755",-2.6%,"353,755",-2.6%,-0.1%,North_american,2019-02-20
Total Traffic,"698,029",-2.7%,"698,029",-2.7%,0.3%,North_american,2019-02-20
Total Carloads,"256,954",2.0%,"256,954",2.0%,0.4%,U.S,2019-02-27
Chemicals,"30,982",-1.9%,"30,982",-1.9%,1.0%,U.S,2019-02-27
Coal,"86,854",1.3%,"86,854",1.3%,-2.5%,U.S,2019-02-27
"Farm Products excl. Grain, and Food","15,792",-4.3%,"15,792",-4.3%,-1.7%,U.S,2019-02-27
Forest Products,"10,421",2.8%,"10,421",2.8%,1.7%,U.S,2019-02-27
Grain,"21,695",8.2%,"21,695",8.2%,1.2%,U.S,2019-02-27
Metallic Ores and Metals,"21,051",0.1%,"21,051",0.1%,2.0%,U.S,2019-02-27
Motor Vehicles and Parts,"16,705",-4.7%,"16,705",-4.7%,-2.5%,U.S,2019-02-27
Nonmetallic Minerals,"31,517",0.0%,"31,517",0.0%,-0.2%,U.S,2019-02-27
Petroleum and Petroleum Products,"12,188",21.2%,"12,188",21.2%,22.8%,U.S,2019-02-27
Other,"9,749",23.8%,"9,749",23.8%,2.2%,U.S,2019-02-27
Total Intermodal Units,"265,676",-3.9%,"265,676",-3.9%,-0.1%,U.S,2019-02-27
Total Traffic,"522,630",-1.1%,"522,630",-1.1%,0.1%,U.S,2019-02-27
Total Carloads,"74,785",2.4%,"74,785",2.4%,4.9%,Canadian,2019-02-27
Chemicals,"10,771",-8.1%,"10,771",-8.1%,3.5%,Canadian,2019-02-27
Coal,"7,489",35.7%,"7,489",35.7%,16.0%,Canadian,2019-02-27
"Farm Products excl. Grain, and Food","5,798",-4.9%,"5,798",-4.9%,3.3%,Canadian,2019-02-27
Forest Products,"6,291",-12.9%,"6,291",-12.9%,-2.0%,Canadian,2019-02-27
Grain,"7,707",25.2%,"7,707",25.2%,5.0%,Canadian,2019-02-27
Metallic Ores and Metals,"16,204",8.6%,"16,204",8.6%,5.4%,Canadian,2019-02-27
Motor Vehicles and Parts,"4,593",-10.7%,"4,593",-10.7%,1.8%,Canadian,2019-02-27
Nonmetallic Minerals,"6,597",-7.5%,"6,597",-7.5%,-11.3%,Canadian,2019-02-27
Petroleum and Petroleum Products,"8,066",8.9%,"8,066",8.9%,21.7%,Canadian,2019-02-27
Other,"1,269",-26.9%,"1,269",-26.9%,-6.7%,Canadian,2019-02-27
Total Intermodal Units,"66,290",-2.8%,"66,290",-2.8%,0.1%,Canadian,2019-02-27
Total Traffic,"141,075",-0.1%,"141,075",-0.1%,2.7%,Canadian,2019-02-27
Total Carloads,"21,273",-0.3%,"21,273",-0.3%,-8.6%,Mexican,2019-02-27
Chemicals,948,-6.3%,948,-6.3%,-5.1%,Mexican,2019-02-27
Coal,106,-43.6%,106,-43.6%,-3.9%,Mexican,2019-02-27
"Farm Products excl. Grain, and Food","2,309",13.7%,"2,309",13.7%,-9.3%,Mexican,2019-02-27
Forest Products,15,-51.6%,15,-51.6%,-49.3%,Mexican,2019-02-27
Grain,"2,550",50.5%,"2,550",50.5%,5.4%,Mexican,2019-02-27
Metallic Ores and Metals,"4,270",-16.6%,"4,270",-16.6%,-9.5%,Mexican,2019-02-27
Motor Vehicles and Parts,"4,912",4.8%,"4,912",4.8%,-11.7%,Mexican,2019-02-27
Nonmetallic Minerals,"4,223",1.9%,"4,223",1.9%,-5.5%,Mexican,2019-02-27
Petroleum and Petroleum Products,817,-34.8%,817,-34.8%,-32.1%,Mexican,2019-02-27
Other,"1,123",-3.5%,"1,123",-3.5%,-5.6%,Mexican,2019-02-27
Total Intermodal Units,"18,346",-2.7%,"18,346",-2.7%,-10.3%,Mexican,2019-02-27
Total Traffic,"39,619",-1.4%,"39,619",-1.4%,-9.4%,Mexican,2019-02-27
Total Carloads,"353,012",1.9%,"353,012",1.9%,0.8%,North_american,2019-02-27
Chemicals,"42,701",-3.7%,"42,701",-3.7%,1.5%,North_american,2019-02-27
Coal,"94,449",3.3%,"94,449",3.3%,-1.1%,North_american,2019-02-27
"Farm Products excl. Grain, and Food","23,899",-2.9%,"23,899",-2.9%,-0.9%,North_american,2019-02-27
Forest Products,"16,727",-3.8%,"16,727",-3.8%,0.1%,North_american,2019-02-27
Grain,"31,952",14.5%,"31,952",14.5%,2.4%,North_american,2019-02-27
Metallic Ores and Metals,"41,525",1.1%,"41,525",1.1%,1.9%,North_american,2019-02-27
Motor Vehicles and Parts,"26,210",-4.2%,"26,210",-4.2%,-3.3%,North_american,2019-02-27
Nonmetallic Minerals,"42,337",-1.0%,"42,337",-1.0%,-2.5%,North_american,2019-02-27
Petroleum and Petroleum Products,"21,071",12.6%,"21,071",12.6%,18.9%,North_american,2019-02-27
Other,"12,141",12.7%,"12,141",12.7%,0.4%,North_american,2019-02-27
Total Intermodal Units,"350,312",-3.6%,"350,312",-3.6%,-0.5%,North_american,2019-02-27
Total Traffic,"703,324",-0.9%,"703,324",-0.9%,0.1%,North_american,2019-02-27
Total Carloads,"250,522",-5.5%,"250,522",-5.5%,-0.3%,U.S,2019-03-06
Chemicals,"33,518",-1.4%,"33,518",-1.4%,0.7%,U.S,2019-03-06
Coal,"78,596",-8.3%,"78,596",-8.3%,-3.2%,U.S,2019-03-06
"Farm Products excl. Grain, and Food","15,205",-8.4%,"15,205",-8.4%,-2.4%,U.S,2019-03-06
Forest Products,"9,661",-1.5%,"9,661",-1.5%,1.4%,U.S,2019-03-06
Grain,"20,314",-12.7%,"20,314",-12.7%,-0.5%,U.S,2019-03-06
Metallic Ores and Metals,"20,719",-1.1%,"20,719",-1.1%,1.6%,U.S,2019-03-06
Motor Vehicles and Parts,"18,423",0.3%,"18,423",0.3%,-2.2%,U.S,2019-03-06
Nonmetallic Minerals,"31,934",-7.9%,"31,934",-7.9%,-1.1%,U.S,2019-03-06
Petroleum and Petroleum Products,"11,882",19.3%,"11,882",19.3%,22.4%,U.S,2019-03-06
Other,"10,270",-12.9%,"10,270",-12.9%,0.0%,U.S,2019-03-06
Total Intermodal Units,"277,631",-0.7%,"277,631",-0.7%,-0.1%,U.S,2019-03-06
Total Traffic,"528,153",-3.0%,"528,153",-3.0%,-0.2%,U.S,2019-03-06
Total Carloads,"77,067",-3.1%,"77,067",-3.1%,3.9%,Canadian,2019-03-06
Chemicals,"12,596",-6.6%,"12,596",-6.6%,2.2%,Canadian,2019-03-06
Coal,"8,318",33.8%,"8,318",33.8%,17.9%,Canadian,2019-03-06
"Farm Products excl. Grain, and Food","5,950",-16.2%,"5,950",-16.2%,1.0%,Canadian,2019-03-06
Forest Products,"6,579",-7.4%,"6,579",-7.4%,-2.6%,Canadian,2019-03-06
Grain,"8,637",14.8%,"8,637",14.8%,6.1%,Canadian,2019-03-06
Metallic Ores and Metals,"13,837",-10.3%,"13,837",-10.3%,3.6%,Canadian,2019-03-06
Motor Vehicles and Parts,"5,310",-5.9%,"5,310",-5.9%,0.8%,Canadian,2019-03-06
Nonmetallic Minerals,"5,869",-21.2%,"5,869",-21.2%,-12.5%,Canadian,2019-03-06
Petroleum and Petroleum Products,"8,834",8.5%,"8,834",8.5%,20.2%,Canadian,2019-03-06
Other,"1,137",-22.2%,"1,137",-22.2%,-8.5%,Canadian,2019-03-06
Total Intermodal Units,"67,977",-3.6%,"67,977",-3.6%,-0.3%,Canadian,2019-03-06
Total Traffic,"145,044",-3.3%,"145,044",-3.3%,2.0%,Canadian,2019-03-06
Total Carloads,"21,859",-0.8%,"21,859",-0.8%,-7.7%,Mexican,2019-03-06
Chemicals,969,-19.5%,969,-19.5%,-7.0%,Mexican,2019-03-06
Coal,130,73.3%,130,73.3%,0.5%,Mexican,2019-03-06
"Farm Products excl. Grain, and Food","2,078",8.2%,"2,078",8.2%,-7.4%,Mexican,2019-03-06
Forest Products,33,-17.5%,33,-17.5%,-45.6%,Mexican,2019-03-06
Grain,"2,299",11.7%,"2,299",11.7%,6.1%,Mexican,2019-03-06
Metallic Ores and Metals,"5,157",10.6%,"5,157",10.6%,-7.2%,Mexican,2019-03-06
Motor Vehicles and Parts,"4,826",-11.4%,"4,826",-11.4%,-11.7%,Mexican,2019-03-06
Nonmetallic Minerals,"4,240",-0.5%,"4,240",-0.5%,-5.0%,Mexican,2019-03-06
Petroleum and Petroleum Products,"1,037",-18.7%,"1,037",-18.7%,-30.5%,Mexican,2019-03-06
Other,"1,090",-1.2%,"1,090",-1.2%,-5.1%,Mexican,2019-03-06
Total Intermodal Units,"17,745",-3.2%,"17,745",-3.2%,-9.5%,Mexican,2019-03-06
Total Traffic,"39,604",-1.9%,"39,604",-1.9%,-8.5%,Mexican,2019-03-06
Total Carloads,"349,448",-4.7%,"349,448",-4.7%,0.2%,North_american,2019-03-06
Chemicals,"47,083",-3.3%,"47,083",-3.3%,0.9%,North_american,2019-03-06
Coal,"87,044",-5.4%,"87,044",-5.4%,-1.6%,North_american,2019-03-06
"Farm Products excl. Grain, and Food","23,233",-9.3%,"23,233",-9.3%,-1.9%,North_american,2019-03-06
Forest Products,"16,273",-4.0%,"16,273",-4.0%,-0.3%,North_american,2019-03-06
Grain,"31,250",-4.9%,"31,250",-4.9%,1.5%,North_american,2019-03-06
Metallic Ores and Metals,"39,713",-3.3%,"39,713",-3.3%,1.3%,North_american,2019-03-06
Motor Vehicles and Parts,"28,559",-3.0%,"28,559",-3.0%,-3.2%,North_american,2019-03-06
Nonmetallic Minerals,"42,043",-9.4%,"42,043",-9.4%,-3.4%,North_american,2019-03-06
Petroleum and Petroleum Products,"21,753",12.3%,"21,753",12.3%,18.2%,North_american,2019-03-06
Other,"12,497",-13.0%,"12,497",-13.0%,-1.4%,North_american,2019-03-06
Total Intermodal Units,"363,353",-1.4%,"363,353",-1.4%,-0.6%,North_american,2019-03-06
Total Traffic,"712,801",-3.0%,"712,801",-3.0%,-0.2%,North_american,2019-03-06
Total Carloads,"238,104",-7.0%,"238,104",-7.0%,-1.0%,U.S,2019-03-13
Chemicals,"31,354",-4.6%,"31,354",-4.6%,0.1%,U.S,2019-03-13
Coal,"76,562",-8.6%,"76,562",-8.6%,-3.7%,U.S,2019-03-13
"Farm Products excl. Grain, and Food","15,475",-8.3%,"15,475",-8.3%,-3.0%,U.S,2019-03-13
Forest Products,"9,603",-4.1%,"9,603",-4.1%,0.8%,U.S,2019-03-13
Grain,"19,219",-16.2%,"19,219",-16.2%,-2.1%,U.S,2019-03-13
Metallic Ores and Metals,"19,881",-5.6%,"19,881",-5.6%,0.9%,U.S,2019-03-13
Motor Vehicles and Parts,"16,792",-0.2%,"16,792",-0.2%,-2.0%,U.S,2019-03-13
Nonmetallic Minerals,"30,217",-9.3%,"30,217",-9.3%,-2.0%,U.S,2019-03-13
Petroleum and Petroleum Products,"10,658",12.4%,"10,658",12.4%,21.5%,U.S,2019-03-13
Other,"8,343",-6.0%,"8,343",-6.0%,-0.5%,U.S,2019-03-13
Total Intermodal Units,"270,854",-2.6%,"270,854",-2.6%,-0.4%,U.S,2019-03-13
Total Traffic,"508,958",-4.7%,"508,958",-4.7%,-0.7%,U.S,2019-03-13
Total Carloads,"75,534",-5.3%,"75,534",-5.3%,2.9%,Canadian,2019-03-13
Chemicals,"11,538",-6.1%,"11,538",-6.1%,1.4%,Canadian,2019-03-13
Coal,"7,220",6.6%,"7,220",6.6%,16.7%,Canadian,2019-03-13
"Farm Products excl. Grain, and Food","6,335",-14.7%,"6,335",-14.7%,-0.8%,Canadian,2019-03-13
Forest Products,"6,948",-0.4%,"6,948",-0.4%,-2.4%,Canadian,2019-03-13
Grain,"6,774",-18.4%,"6,774",-18.4%,3.4%,Canadian,2019-03-13
Metallic Ores and Metals,"15,104",-9.3%,"15,104",-9.3%,2.1%,Canadian,2019-03-13
Motor Vehicles and Parts,"5,488",2.3%,"5,488",2.3%,1.0%,Canadian,2019-03-13
Nonmetallic Minerals,"6,620",-8.3%,"6,620",-8.3%,-12.1%,Canadian,2019-03-13
Petroleum and Petroleum Products,"8,404",13.8%,"8,404",13.8%,19.6%,Canadian,2019-03-13
Other,"1,103",-21.3%,"1,103",-21.3%,-9.7%,Canadian,2019-03-13
Total Intermodal Units,"67,818",-2.1%,"67,818",-2.1%,-0.5%,Canadian,2019-03-13
Total Traffic,"143,352",-3.8%,"143,352",-3.8%,1.3%,Canadian,2019-03-13
Total Carloads,"21,605",-0.7%,"21,605",-0.7%,-6.9%,Mexican,2019-03-13
Chemicals,"1,010",-1.3%,"1,010",-1.3%,-6.4%,Mexican,2019-03-13
Coal,90,-49.7%,90,-49.7%,-5.6%,Mexican,2019-03-13
"Farm Products excl. Grain, and Food","2,197",12.8%,"2,197",12.8%,-5.3%,Mexican,2019-03-13
Forest Products,21,-41.7%,21,-41.7%,-45.2%,Mexican,2019-03-13
Grain,"1,848",-16.0%,"1,848",-16.0%,3.8%,Mexican,2019-03-13
Metallic Ores and Metals,"4,538",-1.4%,"4,538",-1.4%,-6.6%,Mexican,2019-03-13
Motor Vehicles and Parts,"5,163",4.6%,"5,163",4.6%,-9.9%,Mexican,2019-03-13
Nonmetallic Minerals,"4,495",0.4%,"4,495",0.4%,-4.4%,Mexican,2019-03-13
Petroleum and Petroleum Products,"1,113",-6.3%,"1,113",-6.3%,-28.1%,Mexican,2019-03-13
Other,"1,130",-2.9%,"1,130",-2.9%,-4.8%,Mexican,2019-03-13
Total Intermodal Units,"18,907",0.3%,"18,907",0.3%,-8.4%,Mexican,2019-03-13
Total Traffic,"40,512",-0.2%,"40,512",-0.2%,-7.6%,Mexican,2019-03-13
Total Carloads,"335,243",-6.3%,"335,243",-6.3%,-0.5%,North_american,2019-03-13
Chemicals,"43,902",-4.9%,"43,902",-4.9%,0.3%,North_american,2019-03-13
Coal,"83,872",-7.6%,"83,872",-7.6%,-2.2%,North_american,2019-03-13
"Farm Products excl. Grain, and Food","24,007",-8.5%,"24,007",-8.5%,-2.6%,North_american,2019-03-13
Forest Products,"16,572",-2.6%,"16,572",-2.6%,-0.6%,North_american,2019-03-13
Grain,"27,841",-16.7%,"27,841",-16.7%,-0.4%,North_american,2019-03-13
Metallic Ores and Metals,"39,523",-6.6%,"39,523",-6.6%,0.5%,North_american,2019-03-13
Motor Vehicles and Parts,"27,443",1.2%,"27,443",1.2%,-2.8%,North_american,2019-03-13
Nonmetallic Minerals,"41,332",-8.2%,"41,332",-8.2%,-3.9%,North_american,2019-03-13
Petroleum and Petroleum Products,"20,175",11.8%,"20,175",11.8%,17.6%,North_american,2019-03-13
Other,"10,576",-7.6%,"10,576",-7.6%,-2.0%,North_american,2019-03-13
Total Intermodal Units,"357,579",-2.4%,"357,579",-2.4%,-0.8%,North_american,2019-03-13
Total Traffic,"692,822",-4.3%,"692,822",-4.3%,-0.7%,North_american,2019-03-13
Total Carloads,"240,317",-8.8%,"240,317",-8.8%,-1.7%,U.S,2019-03-20
Chemicals,"31,865",-4.7%,"31,865",-4.7%,-0.3%,U.S,2019-03-20
Coal,"72,190",-16.0%,"72,190",-16.0%,-4.9%,U.S,2019-03-20
"Farm Products excl. Grain, and Food","15,606",-2.8%,"15,606",-2.8%,-3.0%,U.S,2019-03-20
Forest Products,"10,012",-0.4%,"10,012",-0.4%,0.7%,U.S,2019-03-20
Grain,"18,619",-21.7%,"18,619",-21.7%,-4.0%,U.S,2019-03-20
Metallic Ores and Metals,"20,990",-6.4%,"20,990",-6.4%,0.2%,U.S,2019-03-20
Motor Vehicles and Parts,"17,926",4.7%,"17,926",4.7%,-1.3%,U.S,2019-03-20
Nonmetallic Minerals,"32,730",-7.2%,"32,730",-7.2%,-2.5%,U.S,2019-03-20
Petroleum and Petroleum Products,"12,124",21.2%,"12,124",21.2%,21.5%,U.S,2019-03-20
Other,"8,255",-12.3%,"8,255",-12.3%,-1.6%,U.S,2019-03-20
Total Intermodal Units,"260,684",-4.8%,"260,684",-4.8%,-0.8%,U.S,2019-03-20
Total Traffic,"501,001",-6.8%,"501,001",-6.8%,-1.3%,U.S,2019-03-20
Total Carloads,"79,303",-0.01%,"79,303",-0.01%,2.7%,Canadian,2019-03-20
Chemicals,"12,326",-3.5%,"12,326",-3.5%,0.9%,Canadian,2019-03-20
Coal,"7,357",-1.3%,"7,357",-1.3%,14.9%,Canadian,2019-03-20
"Farm Products excl. Grain, and Food","6,802",-4.5%,"6,802",-4.5%,-1.1%,Canadian,2019-03-20
Forest Products,"7,066",0.3%,"7,066",0.3%,-2.1%,Canadian,2019-03-20
Grain,"7,861",-3.0%,"7,861",-3.0%,2.8%,Canadian,2019-03-20
Metallic Ores and Metals,"16,051",8.5%,"16,051",8.5%,2.7%,Canadian,2019-03-20
Motor Vehicles and Parts,"5,170",-9.1%,"5,170",-9.1%,-0.1%,Canadian,2019-03-20
Nonmetallic Minerals,"6,583",-6.3%,"6,583",-6.3%,-11.5%,Canadian,2019-03-20
Petroleum and Petroleum Products,"8,949",12.7%,"8,949",12.7%,18.9%,Canadian,2019-03-20
Other,"1,138",-17.8%,"1,138",-17.8%,-10.5%,Canadian,2019-03-20
Total Intermodal Units,"69,935",1.9%,"69,935",1.9%,-0.3%,Canadian,2019-03-20
Total Traffic,"149,238",0.9%,"149,238",0.9%,1.3%,Canadian,2019-03-20
Total Carloads,"22,259",2.4%,"22,259",2.4%,-6.1%,Mexican,2019-03-20
Chemicals,954,-16.8%,954,-16.8%,-7.5%,Mexican,2019-03-20
Coal,164,57.7%,164,57.7%,-1.4%,Mexican,2019-03-20
"Farm Products excl. Grain, and Food","2,256",-6.0%,"2,256",-6.0%,-5.4%,Mexican,2019-03-20
Forest Products,16,-65.2%,16,-65.2%,-47.4%,Mexican,2019-03-20
Grain,"2,496",32.3%,"2,496",32.3%,6.1%,Mexican,2019-03-20
Metallic Ores and Metals,"4,776",6.9%,"4,776",6.9%,-5.4%,Mexican,2019-03-20
Motor Vehicles and Parts,"5,374",-0.4%,"5,374",-0.4%,-8.8%,Mexican,2019-03-20
Nonmetallic Minerals,"4,181",1.5%,"4,181",1.5%,-3.8%,Mexican,2019-03-20
Petroleum and Petroleum Products,"1,065",12.9%,"1,065",12.9%,-25.2%,Mexican,2019-03-20
Other,977,-20.4%,977,-20.4%,-6.5%,Mexican,2019-03-20
Total Intermodal Units,"16,510",-10.0%,"16,510",-10.0%,-8.6%,Mexican,2019-03-20
Total Traffic,"38,769",-3.3%,"38,769",-3.3%,-7.2%,Mexican,2019-03-20
Total Carloads,"341,879",-6.2%,"341,879",-6.2%,-1.0%,North_american,2019-03-20
Chemicals,"45,145",-4.6%,"45,145",-4.6%,-0.2%,North_american,2019-03-20
Coal,"79,711",-14.7%,"79,711",-14.7%,-3.4%,North_american,2019-03-20
"Farm Products excl. Grain, and Food","24,664",-3.6%,"24,664",-3.6%,-2.7%,North_american,2019-03-20
Forest Products,"17,094",-0.3%,"17,094",-0.3%,-0.5%,North_american,2019-03-20
Grain,"28,976",-14.2%,"28,976",-14.2%,-1.8%,North_american,2019-03-20
Metallic Ores and Metals,"41,817",0.3%,"41,817",0.3%,0.5%,North_american,2019-03-20
Motor Vehicles and Parts,"28,470",0.9%,"28,470",0.9%,-2.4%,North_american,2019-03-20
Nonmetallic Minerals,"43,494",-6.3%,"43,494",-6.3%,-4.1%,North_american,2019-03-20
Petroleum and Petroleum Products,"22,138",17.2%,"22,138",17.2%,17.6%,North_american,2019-03-20
Other,"10,370",-13.8%,"10,370",-13.8%,-3.1%,North_american,2019-03-20
Total Intermodal Units,"347,129",-3.8%,"347,129",-3.8%,-1.1%,North_american,2019-03-20
Total Traffic,"689,008",-5.0%,"689,008",-5.0%,-1.1%,North_american,2019-03-20
Total Carloads,"236,817",-10.9%,"236,817",-10.9%,-2.5%,U.S,2019-03-27
Chemicals,"30,682",-9.2%,"30,682",-9.2%,-1.1%,U.S,2019-03-27
Coal,"65,317",-25.3%,"65,317",-25.3%,-6.6%,U.S,2019-03-27
"Farm Products excl. Grain, and Food","15,482",-8.1%,"15,482",-8.1%,-3.5%,U.S,2019-03-27
Forest Products,"9,746",-3.5%,"9,746",-3.5%,0.4%,U.S,2019-03-27
Grain,"22,033",-6.3%,"22,033",-6.3%,-4.2%,U.S,2019-03-27
Metallic Ores and Metals,"19,978",-10.4%,"19,978",-10.4%,-0.8%,U.S,2019-03-27
Motor Vehicles and Parts,"17,102",2.5%,"17,102",2.5%,-1.0%,U.S,2019-03-27
Nonmetallic Minerals,"35,435",-1.0%,"35,435",-1.0%,-2.4%,U.S,2019-03-27
Petroleum and Petroleum Products,"12,132",22.6%,"12,132",22.6%,21.6%,U.S,2019-03-27
Other,"8,910",-5.6%,"8,910",-5.6%,-2.0%,U.S,2019-03-27
Total Intermodal Units,"266,200",2.1%,"266,200",2.1%,-0.6%,U.S,2019-03-27
Total Traffic,"503,017",-4.5%,"503,017",-4.5%,-1.5%,U.S,2019-03-27
Total Carloads,"82,708",0.0%,"82,708",0.0%,2.4%,Canadian,2019-03-27
Chemicals,"12,179",-1.7%,"12,179",-1.7%,0.7%,Canadian,2019-03-27
Coal,"8,303",4.8%,"8,303",4.8%,13.9%,Canadian,2019-03-27
"Farm Products excl. Grain, and Food","7,142",1.4%,"7,142",1.4%,-0.9%,Canadian,2019-03-27
Forest Products,"7,519",-3.1%,"7,519",-3.1%,-2.2%,Canadian,2019-03-27
Grain,"8,592",-6.2%,"8,592",-6.2%,1.9%,Canadian,2019-03-27
Metallic Ores and Metals,"15,528",1.5%,"15,528",1.5%,2.6%,Canadian,2019-03-27
Motor Vehicles and Parts,"5,696",-3.1%,"5,696",-3.1%,-0.4%,Canadian,2019-03-27
Nonmetallic Minerals,"6,875",-13.0%,"6,875",-13.0%,-11.7%,Canadian,2019-03-27
Petroleum and Petroleum Products,"9,456",26.0%,"9,456",26.0%,19.5%,Canadian,2019-03-27
Other,"1,418",-23.4%,"1,418",-23.4%,-11.8%,Canadian,2019-03-27
Total Intermodal Units,"71,236",0.5%,"71,236",0.5%,-0.2%,Canadian,2019-03-27
Total Traffic,"153,944",0.2%,"153,944",0.2%,1.2%,Canadian,2019-03-27
Total Carloads,"20,785",-1.6%,"20,785",-1.6%,-5.7%,Mexican,2019-03-27
Chemicals,919,3.8%,919,3.8%,-6.7%,Mexican,2019-03-27
Coal,137,-16.5%,137,-16.5%,-2.8%,Mexican,2019-03-27
"Farm Products excl. Grain, and Food","2,112",2.5%,"2,112",2.5%,-4.7%,Mexican,2019-03-27
Forest Products,24,-31.4%,24,-31.4%,-46.2%,Mexican,2019-03-27
Grain,"2,380",20.0%,"2,380",20.0%,7.3%,Mexican,2019-03-27
Metallic Ores and Metals,"4,291",-10.1%,"4,291",-10.1%,-5.8%,Mexican,2019-03-27
Motor Vehicles and Parts,"5,024",-2.2%,"5,024",-2.2%,-8.2%,Mexican,2019-03-27
Nonmetallic Minerals,"4,138",0.2%,"4,138",0.2%,-3.5%,Mexican,2019-03-27
Petroleum and Petroleum Products,785,-20.3%,785,-20.3%,-24.9%,Mexican,2019-03-27
Other,975,0.1%,975,0.1%,-6.0%,Mexican,2019-03-27
Total Intermodal Units,"14,986",-7.2%,"14,986",-7.2%,-8.5%,Mexican,2019-03-27
Total Traffic,"35,771",-4.0%,"35,771",-4.0%,-7.0%,Mexican,2019-03-27
Total Carloads,"340,310",-7.9%,"340,310",-7.9%,-1.7%,North_american,2019-03-27
Chemicals,"43,780",-7.0%,"43,780",-7.0%,-0.8%,North_american,2019-03-27
Coal,"73,757",-22.8%,"73,757",-22.8%,-5.1%,North_american,2019-03-27
"Farm Products excl. Grain, and Food","24,736",-4.7%,"24,736",-4.7%,-2.9%,North_american,2019-03-27
Forest Products,"17,289",-3.4%,"17,289",-3.4%,-0.8%,North_american,2019-03-27
Grain,"33,005",-4.8%,"33,005",-4.8%,-2.0%,North_american,2019-03-27
Metallic Ores and Metals,"39,797",-6.1%,"39,797",-6.1%,-0.1%,North_american,2019-03-27
Motor Vehicles and Parts,"27,822",0.5%,"27,822",0.5%,-2.2%,North_american,2019-03-27
Nonmetallic Minerals,"46,448",-2.8%,"46,448",-2.8%,-4.0%,North_american,2019-03-27
Petroleum and Petroleum Products,"22,373",21.7%,"22,373",21.7%,17.9%,North_american,2019-03-27
Other,"11,303",-7.8%,"11,303",-7.8%,-3.5%,North_american,2019-03-27
Total Intermodal Units,"352,422",1.3%,"352,422",1.3%,-0.9%,North_american,2019-03-27
Total Traffic,"692,732",-3.4%,"692,732",-3.4%,-1.3%,North_american,2019-03-27
Total Carloads,"241,906",-8.9%,"241,906",-8.9%,-3.1%,U.S,2019-04-03
Chemicals,"33,809",0.3%,"33,809",0.3%,-1.0%,U.S,2019-04-03
Coal,"60,984",-26.3%,"60,984",-26.3%,-8.1%,U.S,2019-04-03
"Farm Products excl. Grain, and Food","15,663",-1.8%,"15,663",-1.8%,-3.3%,U.S,2019-04-03
Forest Products,"10,059",-5.0%,"10,059",-5.0%,-0.1%,U.S,2019-04-03
Grain,"22,565",-6.2%,"22,565",-6.2%,-4.4%,U.S,2019-04-03
Metallic Ores and Metals,"23,293",-4.8%,"23,293",-4.8%,-1.1%,U.S,2019-04-03
Motor Vehicles and Parts,"17,802",0.1%,"17,802",0.1%,-0.9%,U.S,2019-04-03
Nonmetallic Minerals,"34,494",-6.5%,"34,494",-6.5%,-2.8%,U.S,2019-04-03
Petroleum and Petroleum Products,"12,658",27.8%,"12,658",27.8%,22.0%,U.S,2019-04-03
Other,"10,579",12.5%,"10,579",12.5%,-0.8%,U.S,2019-04-03
Total Intermodal Units,"268,052",-0.4%,"268,052",-0.4%,-0.6%,U.S,2019-04-03
Total Traffic,"509,958",-4.6%,"509,958",-4.6%,-1.8%,U.S,2019-04-03
Total Carloads,"84,425",3.0%,"84,425",3.0%,2.5%,Canadian,2019-04-03
Chemicals,"13,751",12.7%,"13,751",12.7%,1.6%,Canadian,2019-04-03
Coal,"7,848",-3.7%,"7,848",-3.7%,12.3%,Canadian,2019-04-03
"Farm Products excl. Grain, and Food","7,154",-3.3%,"7,154",-3.3%,-1.1%,Canadian,2019-04-03
Forest Products,"7,495",1.3%,"7,495",1.3%,-1.9%,Canadian,2019-04-03
Grain,"9,353",8.6%,"9,353",8.6%,2.4%,Canadian,2019-04-03
Metallic Ores and Metals,"15,443",-1.4%,"15,443",-1.4%,2.3%,Canadian,2019-04-03
Motor Vehicles and Parts,"5,759",7.6%,"5,759",7.6%,0.3%,Canadian,2019-04-03
Nonmetallic Minerals,"7,222",-4.8%,"7,222",-4.8%,-11.1%,Canadian,2019-04-03
Petroleum and Petroleum Products,"9,051",13.0%,"9,051",13.0%,19.0%,Canadian,2019-04-03
Other,"1,349",-14.1%,"1,349",-14.1%,-12.0%,Canadian,2019-04-03
